County,Stabr,Ethnicities.American Indian and Alaska Native Alone,Ethnicities.Asian Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Ethnicities.Native Hawaiian and Other Pacific Islander Alone,Ethnicities.Two or More Races,Ethnicities.White Alone,Ethnicities.White Alone	 not Hispanic or Latino
Bullitt County,KY,0.4,0.6,1.4,2.3,0.1,1.6,95.9,94.0
Bulloch County,GA,0.5,1.3,29.6,4.2,0.1,1.9,66.6,63.3
Bullock County,AL,0.8,0.2,70.3,8.6,0.8,1.3,26.6,21.0
Buncombe County,NC,0.5,1.4,6.3,6.8,0.2,2.2,89.4,83.4
Bureau County,IL,0.5,1.1,1.1,9.5,0.0,1.4,96.0,87.3
Burke County,GA,0.5,0.6,46.9,3.5,0.1,1.6,50.3,47.8
Burke County,NC,0.9,3.6,6.9,6.5,0.7,1.8,86.1,81.4
Burke County,ND,1.6,0.6,0.8,3.0,0.1,1.7,95.3,92.4
Burleigh County,ND,4.3,0.9,2.4,2.8,0.1,1.9,90.4,88.2
Burleson County,TX,1.1,0.5,12.7,21.1,0.0,1.7,83.9,64.3
Burlington County,NJ,0.3,5.4,18.3,8.5,0.1,3.0,72.9,66.6
Burnet County,TX,1.2,1.0,2.0,22.6,0.1,1.5,94.2,73.1
Burnett County,WI,4.6,0.5,0.8,2.0,0.1,2.5,91.5,90.2
Burt County,NE,2.3,0.4,0.7,3.5,0.1,1.7,94.7,92.1
Butler County,AL,0.4,1.4,45.0,1.5,0.0,1.1,52.1,51.1
Butler County,IA,0.2,0.9,0.3,1.4,0.0,0.9,97.6,96.4
Butler County,KS,1.1,1.4,2.2,5.1,0.1,2.6,92.6,88.2
Butler County,KY,0.4,0.3,0.7,3.4,-1.0,1.3,97.2,94.4
Butler County,MO,0.8,0.9,5.6,2.2,0.0,2.6,90.1,88.4
Butler County,NE,0.5,0.5,0.6,4.5,0.0,1.0,97.4,93.4
Butler County,OH,0.3,3.9,9.2,5.0,0.1,2.5,84.0,79.8
Butler County,PA,0.2,1.5,1.4,1.6,0.0,1.2,95.8,94.5
Butte County,CA,2.5,5.0,1.9,17.2,0.3,4.6,85.7,70.9
Butte County,ID,1.1,0.3,0.4,5.4,0.2,2.3,95.7,90.9
Butte County,SD,2.5,0.4,0.5,3.8,0.1,2.6,93.9,91.0
Butts County,GA,0.4,0.7,28.9,3.6,0.0,1.5,68.5,65.7
Cabarrus County,NC,0.7,4.7,19.6,11.1,0.1,2.4,72.4,63.4
Cabell County,WV,0.2,1.3,4.8,1.4,0.0,2.4,91.3,90.1
Cache County,UT,1.1,2.3,1.1,10.9,0.5,2.1,92.9,83.5
Caddo County,OK,25.5,0.5,2.9,13.3,0.1,6.4,64.6,56.8
Caddo Parish,LA,0.5,1.3,50.0,2.9,0.1,1.7,46.5,44.3
Calaveras County,CA,2.0,1.9,1.1,13.0,0.3,3.9,91.0,79.9
Calcasieu Parish,LA,0.6,1.4,25.8,4.1,0.1,2.1,70.1,66.6
Caldwell County,KY,0.3,0.5,5.4,1.7,0.0,1.4,92.3,90.8
Caldwell County,MO,0.8,0.3,0.7,2.5,0.0,2.1,96.0,93.9
Caldwell County,NC,0.6,0.8,5.2,5.9,0.1,1.8,91.5,86.7
Caldwell County,TX,1.6,1.0,6.6,53.8,0.1,1.8,88.8,38.2
Caldwell Parish,LA,0.4,0.3,16.1,3.2,0.0,1.4,81.8,79.1
Caledonia County,VT,0.5,0.9,0.9,1.7,0.0,1.6,96.1,94.7
Calhoun County,AL,0.5,0.9,21.3,4.1,0.1,2.0,75.1,71.7
Calhoun County,AR,0.8,0.2,21.2,4.1,0.0,2.2,75.5,72.1
Calhoun County,FL,1.3,0.9,12.5,5.7,0.1,2.5,82.7,77.8
Calhoun County,GA,0.6,0.9,60.8,5.1,0.3,1.3,36.1,32.7
Calhoun County,IA,0.5,0.3,2.4,2.1,-1.0,1.1,95.7,93.7
Calhoun County,IL,0.2,0.3,0.4,1.4,0.0,0.7,98.3,97.1
Calhoun County,MI,0.8,3.0,11.2,5.5,0.0,3.6,81.4,77.1
Calhoun County,MS,0.4,0.2,28.5,6.3,0.0,1.2,69.7,64.3
Calhoun County,SC,0.6,0.3,40.3,3.9,0.1,1.2,57.5,54.6
Calhoun County,TX,0.9,5.3,3.1,49.4,0.1,1.3,89.3,41.8
Calhoun County,WV,0.4,0.2,0.4,1.1,0.0,1.1,98.0,96.9
Callahan County,TX,0.9,0.7,1.7,10.0,0.1,1.9,94.7,85.6
Callaway County,MO,0.5,0.8,4.7,2.2,0.1,2.2,91.7,90.0
Calloway County,KY,0.3,1.8,4.0,2.7,0.1,1.7,92.1,89.8
Calumet County,WI,0.5,2.4,0.8,4.5,0.1,1.4,94.7,90.6
Calvert County,MD,0.5,1.9,13.3,4.4,0.1,3.2,81.0,77.5
Camas County,ID,1.3,0.4,0.5,6.3,-1.0,3.4,94.4,88.7
Cambria County,PA,0.2,0.5,3.7,1.8,0.0,1.7,93.9,92.6
Camden County,GA,0.7,1.5,19.2,7.1,0.2,3.3,75.0,69.3
Camden County,MO,0.7,0.7,0.7,2.9,0.1,1.5,96.4,94.0
Camden County,NC,0.6,2.1,11.5,3.0,0.1,3.0,82.7,80.5
Camden County,NJ,0.7,6.0,21.6,17.6,0.1,2.6,69.0,55.8
Cameron County,PA,0.4,0.4,1.1,1.5,0.1,1.5,96.5,95.3
Cameron County,TX,0.7,0.8,0.8,90.0,0.1,0.6,97.1,8.6
Cameron Parish,LA,0.7,0.4,4.0,4.2,0.1,1.7,93.2,89.3
Camp County,TX,1.0,1.0,16.5,25.9,0.2,2.7,78.6,55.0
Campbell County,KY,0.2,1.1,3.0,2.2,0.0,1.7,94.0,92.2
Campbell County,SD,1.4,0.5,0.2,2.7,-1.0,0.9,97.0,94.8
Campbell County,TN,0.3,0.4,0.5,1.6,0.1,1.2,97.4,96.1
Campbell County,VA,0.4,1.1,14.8,2.9,0.1,2.2,81.5,79.1
Campbell County,WY,1.6,0.8,0.7,8.9,0.1,2.2,94.7,86.9
Canadian County,OK,5.2,3.3,3.6,9.8,0.1,4.8,83.1,75.0
Candler County,GA,0.3,1.1,24.9,12.3,0.1,1.4,72.1,61.2
Cannon County,TN,0.4,0.4,1.8,2.5,0.1,1.5,95.9,93.9
Canyon County,ID,1.7,1.1,0.8,25.6,0.3,2.8,93.2,70.0
Cape Girardeau County,MO,0.4,1.9,7.9,2.5,0.0,2.3,87.5,85.5
Cape May County,NJ,0.4,1.0,4.8,8.1,0.1,1.9,91.8,85.0
Carbon County,MT,1.3,0.3,0.6,2.4,0.0,1.6,96.1,94.0
Carbon County,PA,0.4,0.6,2.3,5.3,0.1,1.3,95.4,91.0
Carbon County,UT,1.6,0.7,0.6,13.4,0.2,2.1,94.8,82.9
Carbon County,WY,1.8,1.0,1.2,18.5,0.1,1.9,93.9,76.9
Caribou County,ID,0.7,0.4,0.1,6.4,0.3,1.3,97.2,91.2
Carlisle County,KY,0.7,0.3,1.5,2.5,-1.0,2.4,95.2,93.1
Carlton County,MN,6.0,0.6,1.7,1.8,0.0,2.7,89.0,87.9
Caroline County,MD,0.9,1.2,14.1,7.8,0.3,2.5,81.0,75.1
Caroline County,VA,0.8,1.1,27.2,5.2,0.1,3.6,67.2,63.2
Carroll County,AR,1.4,2.0,0.8,15.2,1.4,2.3,92.1,78.4
Carroll County,GA,0.5,1.0,19.7,7.2,0.1,2.3,76.4,70.4
Carroll County,IA,0.3,0.5,1.4,2.9,0.0,1.0,96.8,94.3
Carroll County,IL,0.5,0.6,1.1,3.9,0.0,1.6,96.2,92.8
Carroll County,IN,0.4,0.2,1.0,4.3,0.0,1.1,97.3,93.7
Carroll County,KY,0.4,0.6,2.1,7.0,0.1,2.5,94.3,88.2
Carroll County,MD,0.3,2.1,3.9,3.9,0.1,2.0,91.7,88.3
Carroll County,MO,0.4,0.2,1.8,1.6,0.1,1.6,95.9,94.5
Carroll County,MS,0.3,0.3,33.0,1.6,0.0,1.1,65.4,64.2
Carroll County,NH,0.4,0.8,0.7,1.6,0.0,1.3,96.9,95.6
Carroll County,OH,0.3,0.4,0.7,1.3,0.0,1.3,97.2,96.2
Carroll County,TN,0.6,0.4,10.1,2.9,0.1,2.1,86.6,84.3
Carroll County,VA,0.3,0.2,0.9,3.9,0.1,1.3,97.2,94.0
Carson City,NV,2.3,2.7,2.1,24.1,0.1,2.6,82.0,67.0
Carson County,TX,1.6,0.7,1.1,9.7,0.1,2.1,94.5,85.5
Carter County,KY,0.3,0.3,0.7,1.4,0.0,1.0,97.7,96.4
Carter County,MO,1.3,0.2,0.5,2.9,0.0,2.3,95.7,93.4
Carter County,MT,1.0,0.1,0.2,1.1,-1.0,1.9,96.7,95.8
Carter County,OK,10.2,1.3,6.8,7.7,0.1,6.6,75.0,69.5
Carter County,TN,0.3,0.4,1.7,2.0,0.0,1.4,96.1,94.4
Carteret County,NC,0.6,1.3,5.6,4.4,0.2,2.1,90.1,86.5
Carver County,MN,0.3,3.4,2.2,4.4,0.0,1.9,92.2,88.3
Cascade County,MT,4.9,1.0,1.7,4.7,0.1,3.9,88.4,84.9
Casey County,KY,0.4,0.4,1.1,2.9,0.0,1.1,97.0,94.4
Cass County,IA,0.5,0.5,0.5,2.8,0.5,0.9,97.2,94.9
Cass County,IL,0.7,0.8,5.1,19.3,0.2,1.5,91.7,74.6
Cass County,IN,1.2,2.1,2.4,16.5,0.2,1.6,92.5,78.4
Cass County,MI,1.2,0.8,5.2,4.1,0.1,3.0,89.7,86.3
Cass County,MN,12.4,0.4,0.4,2.3,0.0,2.3,84.4,83.0
Cass County,MO,0.7,0.9,4.6,4.6,0.1,2.6,91.2,87.3
Cass County,ND,1.5,3.4,6.4,2.8,0.1,2.1,86.7,84.4
Cass County,NE,0.6,0.5,0.8,3.7,0.1,1.8,96.2,93.2
Cass County,TX,0.8,0.5,17.0,4.8,0.1,1.6,80.0,76.0
Cassia County,ID,1.5,0.8,0.9,27.2,0.3,1.8,94.7,69.7
Castro County,TX,1.8,0.7,2.7,65.7,0.0,1.0,93.8,30.8
Caswell County,NC,0.8,0.6,32.3,4.6,0.0,1.8,64.5,61.0
Catahoula Parish,LA,0.6,0.1,30.7,1.7,0.0,1.1,67.6,66.1
Catawba County,NC,0.6,4.5,8.9,10.1,0.1,2.0,83.9,74.9
Catoosa County,GA,0.4,1.4,2.9,3.2,0.2,1.9,93.1,90.5
Catron County,NM,4.0,0.3,0.8,19.0,0.0,3.0,91.9,74.9
Cattaraugus County,NY,3.6,0.8,1.5,2.1,0.0,2.2,91.9,90.4
Cavalier County,ND,1.9,0.4,0.4,1.4,0.1,1.4,95.8,94.5
Cayuga County,NY,0.5,0.7,4.4,3.1,0.1,2.2,92.1,89.9
Cecil County,MD,0.4,1.4,7.3,4.7,0.1,2.5,88.3,84.6
Cedar County,IA,0.2,0.6,0.6,2.3,0.1,1.3,97.2,95.1
Cedar County,MO,0.9,0.4,0.5,2.5,0.0,2.0,96.1,94.2
Cedar County,NE,0.7,0.2,0.3,2.4,-1.0,0.9,97.9,95.9
Centre County,PA,0.2,6.4,3.8,3.0,0.1,1.7,87.9,85.4
Cerro Gordo County,IA,0.4,1.1,2.1,5.1,0.2,1.8,94.4,89.9
Chaffee County,CO,1.5,0.9,1.8,10.0,0.1,1.8,93.9,85.2
Chambers County,AL,0.3,1.1,40.2,2.6,0.0,1.3,57.0,55.1
Chambers County,TX,1.1,1.3,8.3,23.8,0.1,1.6,87.6,65.6
Champaign County,IL,0.4,10.9,13.8,6.3,0.1,3.0,71.8,66.6
Champaign County,OH,0.4,0.5,2.1,1.7,0.0,2.3,94.6,93.2
Chariton County,MO,0.5,0.3,2.4,0.9,-1.0,1.3,95.5,94.8
Charles City County,VA,6.7,0.6,44.4,1.8,0.1,3.4,44.8,43.6
Charles County,MD,0.8,3.4,50.1,6.3,0.1,4.0,41.6,37.2
Charles Mix County,SD,32.7,0.3,0.6,3.7,0.0,3.5,63.0,62.1
Charleston County,SC,0.4,1.8,26.3,5.3,0.1,1.7,69.6,65.2
Charlevoix County,MI,1.7,0.6,0.5,2.2,0.1,1.9,95.2,93.5
Charlotte County,FL,0.4,1.4,5.9,7.7,0.1,1.6,90.6,83.8
Charlotte County,VA,0.4,0.3,27.6,2.3,0.0,1.8,69.9,68.3
Charlottesville City,VA,0.2,7.1,18.8,5.5,0.1,2.9,70.6,65.7
Charlton County,GA,2.6,0.8,30.2,5.4,0.1,1.9,64.4,60.2
Chase County,KS,0.8,0.3,1.2,4.8,-1.0,1.9,95.8,91.3
Chase County,NE,0.5,0.2,0.7,14.8,-1.0,0.9,97.7,83.6
Chatham County,GA,0.4,2.9,41.2,6.7,0.1,2.3,53.0,47.8
Chatham County,NC,1.2,2.2,12.4,12.1,0.1,1.9,82.2,72.1
Chattahoochee County,GA,1.4,2.9,19.4,16.9,1.2,4.7,70.3,57.0
Chattooga County,GA,0.5,0.6,9.8,5.5,0.3,2.1,86.8,82.5
Chautauqua County,KS,5.1,0.2,1.4,4.0,0.1,4.8,88.4,85.7
Chautauqua County,NY,0.7,0.7,2.8,7.8,0.1,2.2,93.6,87.1
Chaves County,NM,2.4,1.2,2.4,57.8,0.3,1.8,91.9,37.9
Cheatham County,TN,0.6,0.4,2.1,3.4,0.1,1.7,95.1,92.2
Cheboygan County,MI,3.0,0.4,0.7,1.5,0.1,2.8,92.9,91.8
Chelan County,WA,2.0,1.2,0.9,28.2,0.3,2.4,93.2,67.6
Chemung County,NY,0.4,1.5,6.5,3.2,0.0,3.3,88.3,86.1
Chenango County,NY,0.4,0.6,1.0,2.3,0.0,1.5,96.4,94.5
Cherokee County,AL,0.7,0.4,4.1,1.7,0.0,1.6,93.2,91.7
Cherokee County,GA,0.5,2.1,7.7,11.1,0.1,2.2,87.4,77.8
Cherokee County,IA,0.5,0.6,1.2,4.1,0.2,1.0,96.5,92.8
Cherokee County,KS,4.4,0.5,0.9,2.7,0.5,4.2,89.5,87.5
Cherokee County,NC,1.6,0.7,1.6,3.3,0.1,2.5,93.6,91.1
Cherokee County,OK,36.4,1.0,1.4,7.3,0.1,9.6,51.5,47.1
Cherokee County,SC,0.5,0.6,20.6,4.6,0.1,1.7,76.4,72.6
Cherokee County,TX,1.7,0.6,14.5,23.8,0.1,2.0,81.2,60.0
Cherry County,NE,6.8,0.5,0.5,3.3,0.0,3.1,89.1,87.4
Chesapeake City,VA,0.2,3.2,30.0,6.2,0.1,4.0,61.1,57.4
Cheshire County,NH,0.3,1.7,0.9,2.0,0.0,1.6,95.4,93.8
Chester County,PA,0.3,6.1,6.2,7.6,0.1,2.0,85.3,78.8
Chester County,SC,0.5,0.5,36.8,2.2,0.0,2.0,60.1,58.4
Chester County,TN,0.5,0.7,9.4,2.9,0.0,1.9,87.4,85.0
Chesterfield County,SC,0.8,0.6,32.8,4.6,0.1,2.0,63.8,60.0
Chesterfield County,VA,0.6,3.7,24.5,9.5,0.1,2.9,68.2,60.6
Cheyenne County,CO,1.4,2.3,0.8,11.0,0.1,1.4,94.0,83.8
Cheyenne County,KS,0.4,1.4,0.4,7.1,-1.0,0.8,97.0,90.2
Cheyenne County,NE,1.0,1.0,0.7,7.9,0.1,1.7,95.5,88.6
Chickasaw County,IA,0.1,0.4,0.8,2.9,0.0,0.9,97.8,95.3
Chickasaw County,MS,0.4,0.5,44.6,5.4,0.0,1.7,52.7,48.7
Chicot County,AR,0.5,0.7,54.6,5.9,0.0,1.1,43.0,38.5
Childress County,TX,1.0,0.8,10.8,31.7,0.0,1.5,85.8,55.4
Chilton County,AL,0.6,0.5,10.3,8.2,0.2,1.4,87.1,79.9
Chippewa County,MI,16.3,0.9,7.0,2.0,0.1,5.3,70.5,69.2
Chippewa County,MN,1.5,1.1,0.9,8.1,1.4,1.8,93.3,86.0
Chippewa County,WI,0.6,1.5,1.8,1.9,0.1,1.3,94.7,93.3
Chisago County,MN,0.8,1.4,1.4,2.4,0.0,1.6,94.8,92.8
Chittenden County,VT,0.2,4.6,2.5,2.5,0.0,2.3,90.3,88.3
Choctaw County,AL,0.2,0.2,41.7,1.0,-1.0,0.7,57.1,56.3
Choctaw County,MS,0.4,0.4,29.7,1.6,0.0,1.4,68.1,67.1
Choctaw County,OK,18.5,0.5,10.6,4.8,0.1,7.5,62.8,60.0
Chouteau County,MT,19.1,0.4,0.2,2.9,0.1,1.7,78.4,76.8
Chowan County,NC,0.5,0.8,34.4,3.7,0.2,1.5,62.6,59.8
Christian County,IL,0.3,0.6,1.6,1.7,0.0,1.2,96.2,94.8
Christian County,KY,0.7,1.5,22.1,8.1,0.3,3.6,71.8,65.2
Christian County,MO,0.7,0.7,0.9,3.1,0.1,2.0,95.6,92.9
Churchill County,NV,5.5,3.0,2.5,14.5,0.4,4.5,84.1,72.5
Cibola County,NM,43.9,0.6,1.5,38.5,0.1,2.2,51.7,18.9
Cimarron County,OK,1.0,0.4,0.7,23.3,-1.0,3.2,94.8,72.3
Citrus County,FL,0.4,1.7,3.2,6.1,0.0,1.7,92.9,87.5
Clackamas County,OR,1.1,4.9,1.2,9.0,0.3,3.7,88.9,81.1
Claiborne County,MS,0.2,0.8,86.6,1.4,0.0,1.0,11.4,10.7
Claiborne County,TN,0.4,0.9,1.1,1.4,0.0,1.4,96.2,94.9
Claiborne Parish,LA,0.6,0.4,51.8,1.6,0.0,1.4,45.8,44.8
Clallam County,WA,5.6,1.9,1.2,6.6,0.2,4.1,87.1,82.4
Clare County,MI,0.9,0.3,0.8,2.1,0.0,1.6,96.4,94.6
Clarendon County,SC,0.4,0.8,47.3,3.2,0.0,1.0,50.5,48.2
Clarion County,PA,0.3,0.7,1.3,1.1,0.0,1.1,96.7,95.8
Clark County,AR,0.6,0.7,24.6,4.8,0.1,1.6,72.4,68.3
Clark County,ID,3.1,1.1,1.2,44.5,0.2,2.1,92.3,51.2
Clark County,IL,0.2,0.4,0.5,1.5,0.0,1.0,97.9,96.5
Clark County,IN,0.4,1.2,8.4,5.7,0.1,2.6,87.4,82.4
Clark County,KS,1.5,1.5,0.5,11.0,0.1,2.5,94.0,83.6
Clark County,KY,0.3,0.7,4.8,3.1,0.0,1.6,92.6,90.0
Clark County,MO,0.2,0.4,0.4,0.9,0.0,1.3,97.6,96.8
Clark County,NV,1.2,10.4,13.1,31.6,0.9,4.9,69.5,41.7
Clark County,OH,0.4,0.7,9.0,3.6,0.1,3.0,86.9,83.9
Clark County,SD,0.6,0.6,1.5,3.5,-1.0,1.0,96.3,93.3
Clark County,WA,1.2,5.0,2.4,10.2,0.9,4.3,86.1,77.5
Clark County,WI,0.8,0.5,0.6,5.2,0.0,1.0,97.1,92.4
Clarke County,AL,0.6,0.4,45.0,1.3,0.0,1.0,53.0,52.1
Clarke County,GA,0.4,4.1,28.3,11.0,0.1,2.2,64.8,55.2
Clarke County,IA,1.0,0.8,1.3,15.4,0.2,1.5,95.2,81.2
Clarke County,MS,0.5,0.2,34.7,1.1,0.0,0.7,63.8,62.9
Clarke County,VA,0.7,1.4,4.7,6.4,0.1,2.5,90.6,85.3
Clatsop County,OR,1.4,1.6,0.9,8.6,0.3,3.3,92.6,85.1
Clay County,AL,0.6,0.3,13.8,3.3,-1.0,2.1,83.2,80.3
Clay County,AR,0.6,0.2,0.9,2.2,0.0,1.5,96.8,94.9
Clay County,FL,0.5,3.1,12.6,10.4,0.2,3.3,80.3,71.7
Clay County,GA,0.4,0.6,60.4,1.7,0.1,0.8,37.8,36.3
Clay County,IA,0.3,0.8,0.9,4.1,0.0,1.2,96.7,92.9
Clay County,IL,0.3,0.9,0.6,1.6,-1.0,1.0,97.3,95.8
Clay County,IN,0.3,0.4,0.7,1.5,0.1,1.3,97.2,95.9
Clay County,KS,0.6,0.5,1.0,2.7,0.1,2.0,95.7,93.4
Clay County,KY,0.2,0.2,4.1,2.1,0.0,1.2,94.2,92.5
Clay County,MN,1.8,1.4,4.4,4.7,0.1,2.5,89.8,86.0
Clay County,MO,0.6,2.5,7.3,7.1,0.4,3.0,86.2,80.1
Clay County,MS,0.2,0.4,59.3,1.6,0.0,0.8,39.3,38.4
Clay County,NC,0.7,0.4,1.3,3.9,0.1,1.6,95.9,92.5
Clay County,NE,1.3,0.3,0.5,9.0,0.3,1.0,96.6,89.2
Clay County,SD,3.8,2.7,1.7,3.2,0.1,2.4,89.4,87.2
Clay County,TN,0.5,0.1,1.6,2.5,0.1,1.3,96.4,94.3
Clay County,TX,1.4,0.5,1.1,6.9,0.0,2.1,95.0,89.1
Clay County,WV,0.4,0.1,0.3,0.9,0.0,1.1,98.1,97.3
Clayton County,GA,0.6,5.0,72.8,13.4,0.1,2.4,19.1,9.1
Clayton County,IA,0.2,0.3,0.9,2.0,0.1,1.0,97.5,95.8
Clear Creek County,CO,1.4,1.2,1.0,7.6,0.1,2.2,94.2,87.8
Clearfield County,PA,0.2,0.6,3.0,3.1,0.0,0.9,95.1,92.8
Clearwater County,ID,2.5,0.7,0.6,4.1,0.2,2.5,93.4,89.9
Clearwater County,MN,9.5,0.3,0.8,2.4,0.0,3.8,85.6,84.1
Cleburne County,AL,0.5,0.2,2.8,2.6,0.1,1.3,95.1,92.8
Cleburne County,AR,0.7,0.5,0.5,2.5,0.0,1.7,96.5,94.5
Clermont County,OH,0.2,1.4,1.7,2.1,0.1,1.6,95.0,93.2
Cleveland County,AR,0.5,0.2,11.5,2.5,0.0,1.5,86.3,84.3
Cleveland County,NC,0.4,1.1,20.8,3.8,0.0,1.9,75.8,72.8
Cleveland County,OK,5.3,4.7,5.5,9.2,0.1,6.0,78.3,70.8
Clinch County,GA,0.9,0.4,27.6,5.8,0.1,1.9,69.1,64.4
Clinton County,IA,0.4,0.7,3.1,3.3,0.0,2.0,93.8,90.9
Clinton County,IL,0.4,0.6,3.7,3.2,0.1,1.3,94.0,91.2
Clinton County,IN,0.5,0.5,0.8,16.5,0.0,1.1,97.1,81.4
Clinton County,KY,0.3,0.3,0.6,2.9,0.4,1.3,97.1,94.9
Clinton County,MI,0.5,1.6,2.1,4.6,0.1,2.0,93.6,89.5
Clinton County,MO,0.8,0.5,1.4,2.3,0.1,2.0,95.3,93.3
Clinton County,NY,0.4,1.4,4.4,3.0,0.0,1.5,92.2,90.0
Clinton County,OH,0.3,0.6,2.2,1.7,0.1,2.2,94.7,93.3
Clinton County,PA,0.2,0.7,1.7,1.6,0.1,1.1,96.2,94.9
Cloud County,KS,0.7,1.2,1.1,3.4,0.0,2.0,95.0,92.5
Coahoma County,MS,0.2,0.5,77.6,1.7,0.1,0.8,20.9,19.9
Coal County,OK,19.9,0.3,0.9,4.4,-1.0,8.9,70.0,67.7
Cobb County,GA,0.5,5.6,28.8,13.3,0.1,2.6,62.4,51.1
Cochise County,AZ,1.8,2.3,4.5,35.7,0.4,3.3,87.7,54.8
Cochran County,TX,3.0,0.5,4.4,60.9,0.2,1.1,90.7,33.7
Cocke County,TN,0.6,0.5,2.1,2.6,0.1,1.7,95.0,92.9
Coconino County,AZ,27.4,2.1,1.5,14.3,0.2,3.1,65.7,54.1
Codington County,SD,2.7,0.7,0.8,2.4,0.0,1.5,94.2,92.5
Coffee County,AL,1.4,1.7,17.6,8.0,0.4,3.1,75.8,69.4
Coffee County,GA,0.5,0.9,28.8,12.1,0.1,1.5,68.2,57.3
Coffee County,TN,0.5,1.2,4.0,4.7,0.1,2.3,92.0,88.0
Coffey County,KS,1.0,1.0,0.9,2.8,0.0,1.7,95.3,93.0
Coke County,TX,2.5,0.1,1.0,22.1,0.0,1.9,94.3,74.2
Colbert County,AL,0.7,0.7,16.2,3.2,0.1,1.9,80.4,77.7
Cole County,MO,0.4,1.4,12.2,2.9,0.1,2.2,83.7,81.4
Coleman County,TX,1.4,1.1,3.2,17.5,0.0,2.1,92.1,76.4
Coles County,IL,0.3,1.1,4.0,2.7,0.1,1.7,92.8,90.7
Colfax County,NE,3.5,1.3,5.8,45.7,0.5,1.2,87.6,47.7
Colfax County,NM,2.9,0.8,0.9,49.2,0.2,2.1,93.1,46.9
Colleton County,SC,0.9,0.5,37.1,3.3,0.1,1.8,59.7,57.2
Collier County,FL,0.5,1.6,7.3,28.6,0.1,1.2,89.3,62.2
Collin County,TX,0.7,16.3,10.9,15.5,0.1,2.8,69.3,55.1
Collingsworth County,TX,3.2,0.5,6.4,34.0,-1.0,2.0,87.9,57.5
Colonial Heights City,VA,0.3,4.2,15.3,5.9,0.1,3.1,75.5,72.3
Colorado County,TX,1.1,0.7,12.5,30.7,0.1,1.9,83.7,55.7
Colquitt County,GA,1.2,0.9,23.8,19.6,0.2,1.3,72.7,55.4
Columbia County,AR,0.6,0.9,35.6,2.8,0.0,1.3,61.4,59.5
Columbia County,FL,0.6,1.0,18.7,6.7,0.1,1.9,77.7,71.8
Columbia County,GA,0.4,4.3,18.8,7.1,0.2,3.3,73.0,67.4
Columbia County,NY,0.3,2.0,5.3,5.0,0.1,2.3,90.0,86.1
Columbia County,OR,1.5,1.1,0.8,5.6,0.2,3.9,92.4,87.8
Columbia County,PA,0.3,1.2,2.0,3.0,0.1,1.2,95.3,93.0
Columbia County,WA,1.8,1.4,0.7,7.9,2.0,3.0,91.1,84.4
Columbia County,WI,0.8,0.8,1.7,3.7,0.1,1.3,95.3,92.3
Columbiana County,OH,0.2,0.3,2.5,1.9,0.0,1.7,95.2,93.7
Columbus County,NC,3.8,0.5,30.6,5.6,0.1,1.9,63.1,59.1
Colusa County,CA,2.8,1.6,1.3,60.4,0.6,2.7,91.1,34.1
Comal County,TX,0.9,1.4,2.7,28.1,0.1,2.0,92.9,66.5
Comanche County,KS,1.1,0.5,0.5,7.9,0.2,1.9,95.8,88.9
Comanche County,OK,6.7,2.8,17.3,13.5,0.7,6.8,65.7,55.9
Comanche County,TX,1.3,0.7,1.1,28.6,0.1,1.5,95.4,68.7
Concho County,TX,0.9,1.8,2.2,34.7,0.0,1.3,93.7,60.5
Concordia Parish,LA,0.5,0.4,39.8,1.7,0.0,1.0,58.3,56.9
Conecuh County,AL,0.6,0.2,46.1,2.3,0.0,1.4,51.8,50.4
Conejos County,CO,4.0,0.9,1.0,51.3,0.2,2.3,91.6,45.7
Contra Costa County,CA,1.0,18.3,9.5,26.0,0.6,5.4,65.1,42.7
Converse County,WY,1.2,0.5,0.7,8.4,0.1,1.8,95.7,88.4
Conway County,AR,0.9,0.4,11.4,4.0,0.0,2.5,84.8,81.4
Cook County,GA,0.4,0.7,27.9,6.0,0.1,1.5,69.4,64.2
Cook County,IL,0.7,7.9,23.8,25.6,0.1,2.0,65.4,42.0
Cook County,MN,8.6,1.0,1.4,2.4,0.0,2.9,86.1,84.6
Cooke County,TX,1.4,1.0,3.6,18.9,0.1,2.0,92.0,74.4
Cooper County,MO,0.6,0.7,7.0,2.1,0.1,2.6,89.1,87.7
Coos County,NH,0.5,0.6,0.9,1.9,0.0,1.5,96.4,94.8
Coos County,OR,3.0,1.3,0.6,6.8,0.3,4.4,90.4,84.9
Coosa County,AL,0.6,0.2,30.9,2.6,0.2,1.4,66.8,65.1
Copiah County,MS,0.3,0.4,51.9,3.3,0.0,1.1,46.3,43.9
Corson County,SD,65.4,0.6,0.5,5.3,0.0,3.3,30.2,29.0
Cortland County,NY,0.4,1.1,2.1,2.8,0.0,2.0,94.5,92.3
Coryell County,TX,1.2,2.2,17.7,18.9,1.0,4.5,73.5,57.6
Coshocton County,OH,0.3,0.4,1.2,1.2,0.0,1.6,96.5,95.6
Costilla County,CO,5.3,1.6,2.1,61.2,0.2,2.9,87.9,33.9
Cottle County,TX,0.5,0.1,11.2,24.2,0.1,2.1,86.1,63.8
Cotton County,OK,10.0,0.3,2.4,8.4,0.3,6.2,80.8,75.7
Cottonwood County,MN,0.9,4.1,1.3,8.4,0.4,2.0,91.3,84.7
