County,Stabr,Ethnicities.American Indian and Alaska Native Alone,Ethnicities.Asian Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Ethnicities.Native Hawaiian and Other Pacific Islander Alone,Ethnicities.Two or More Races,Ethnicities.White Alone,Ethnicities.White Alone	 not Hispanic or Latino
Appanoose County,IA,0.3,0.7,0.9,2.2,0.1,1.6,96.4,94.6
Appling County,GA,0.6,0.8,19.6,10.0,0.2,1.6,77.2,68.7
Appomattox County,VA,0.3,0.4,18.5,1.9,0.1,2.0,78.7,77.1
Aransas County,TX,1.3,2.1,1.7,27.9,0.1,1.9,92.9,66.8
Arapahoe County,CO,1.2,6.6,11.5,19.8,0.3,4.0,76.5,59.4
Archer County,TX,1.5,0.5,1.1,8.2,0.1,1.6,95.1,88.3
Archuleta County,CO,3.4,1.2,0.7,18.4,0.1,2.5,92.1,76.8
Arenac County,MI,1.4,0.3,0.5,2.0,0.1,1.8,96.0,94.3
Arkansas County,AR,0.3,0.8,25.1,3.4,0.0,1.9,71.8,69.1
Arlington County,VA,0.6,11.0,9.7,15.6,0.1,3.6,75.0,61.4
Armstrong County,PA,0.1,0.3,0.9,0.8,0.0,1.0,97.6,97.0
Armstrong County,TX,1.3,0.4,1.2,9.2,-1.0,0.8,96.3,88.1
Aroostook County,ME,1.9,0.5,1.2,1.4,0.0,1.5,94.8,93.7
Arthur County,NE,0.4,0.2,-1.0,4.3,-1.0,2.2,97.2,94.2
Ascension Parish,LA,0.4,1.4,24.0,6.0,0.1,1.5,72.6,67.5
Ashe County,NC,0.4,0.5,1.0,5.1,0.1,1.2,96.9,92.3
Ashland County,OH,0.3,0.7,0.9,1.5,0.1,1.3,96.7,95.5
Ashland County,WI,11.7,0.6,0.5,3.0,0.0,3.4,83.8,82.2
Ashley County,AR,0.8,0.3,24.7,5.7,0.1,1.3,72.9,68.5
Ashtabula County,OH,0.3,0.5,3.8,4.4,0.0,2.3,93.0,89.3
Asotin County,WA,1.8,1.0,0.8,4.4,0.3,2.9,93.2,89.8
Assumption Parish,LA,0.8,0.4,29.6,3.3,0.1,1.2,68.0,65.4
Atascosa County,TX,1.3,0.6,1.4,64.8,0.1,1.2,95.3,32.8
Atchison County,KS,0.8,0.7,4.8,3.2,0.1,2.8,90.9,88.2
Atchison County,MO,0.4,0.4,0.5,1.5,0.1,1.3,97.4,96.1
Athens County,OH,0.4,3.1,2.8,1.9,0.1,2.4,91.2,89.7
Atkinson County,GA,1.6,1.0,17.4,25.4,1.1,2.3,76.6,56.0
Atlantic County,NJ,0.7,8.1,17.1,19.4,0.1,2.7,71.3,56.0
Atoka County,OK,14.8,0.8,3.9,3.6,0.0,8.0,72.5,70.2
Attala County,MS,0.4,0.4,43.6,2.0,0.0,0.9,54.6,53.0
Audrain County,MO,0.6,0.5,6.9,3.3,0.1,2.0,89.9,87.2
Audubon County,IA,0.2,0.7,0.6,1.9,0.0,1.0,97.5,95.9
Auglaize County,OH,0.2,0.6,0.7,1.8,0.1,1.2,97.2,95.7
Augusta County,VA,0.3,0.6,4.7,3.1,0.0,1.6,92.8,90.2
Aurora County,SD,2.9,0.7,0.7,7.2,-1.0,1.5,94.2,87.8
Austin County,TX,0.8,0.8,9.3,27.8,0.0,1.7,87.4,61.4
Autauga County,AL,0.5,1.2,20.1,3.0,0.1,1.9,76.3,73.8
Avery County,NC,0.6,0.6,4.7,5.1,0.1,1.1,92.9,88.5
