County,FIPS,Yes/No(1)
"Chickasaw County, Iowa",19037,yes
"Chicot County, Arkansas",5017,yes
"Choctaw County, Alabama",1023,yes
"Choctaw County, Oklahoma",40023,yes
"Christian County, Illinois",17021,yes
"Churchill County, Nevada",32001,yes
"Cibola County, New Mexico",35006,yes
"Clackamas County, Oregon",41005,yes
"Claiborne Parish, Louisiana",22027,yes
"Clallam County, Washington",53009,yes
"Clarion County, Pennsylvania",42031,yes
"Clark County, Indiana",18019,yes
"Clark County, Nevada",32003,yes
"Clark County, Ohio",39023,yes
"Clark County, Wisconsin",55019,yes
"Clarke County, Virginia",51043,yes
"Clatsop County, Oregon",41007,yes
"Clay County, Missouri",29047,yes
"Clay County, Nebraska",31035,yes
"Clay County, Tennessee",47027,yes
"Clear Creek County, Colorado",8019,yes
"Clearwater County, Idaho",16035,yes
"Cleveland County, Oklahoma",40027,yes
"Clinton County, Indiana",18023,yes
"Clinton County, New York",36019,yes
"Coahoma County, Mississippi",28027,yes
"Coal County, Oklahoma",40029,yes
"Cochise County, Arizona",4003,yes
"Coconino County, Arizona",4005,yes
"Codington County, South Dakota",46029,yes
"Coffee County, Alabama",1031,yes
"Coke County, Texas",48081,yes
"Colfax County, New Mexico",35007,yes
"Columbia County, Arkansas",5027,yes
"Columbia County, Florida",12023,yes
"Columbia County, New York",36021,yes
"Columbia County, Oregon",41009,yes
"Columbia County, Pennsylvania",42037,yes
"Columbia County, Wisconsin",55021,yes
"Colusa County, California",6011,yes
"Comal County, Texas",48091,yes
"Comanche County, Kansas",20033,yes
"Comanche County, Oklahoma",40031,yes
"Comanche County, Texas",48093,yes
"Concho County, Texas",48095,yes
"Concordia Parish, Louisiana",22029,yes
"Conejos County, Colorado",8021,yes
"Contra Costa County, California",6013,yes
"Cook County, Illinois",17031,yes
"Cooke County, Texas",48097,yes
"Coos County, Oregon",41011,yes
"Cortland County, New York",36023,yes
"Coryell County, Texas",48099,yes
"Costilla County, Colorado",8023,yes
"Cotton County, Oklahoma",40033,yes
"Craig County, Oklahoma",40035,yes
"Crawford County, Arkansas",5033,yes
"Crawford County, Ohio",39033,yes
"Crawford County, Pennsylvania",42039,yes
"Crawford County, Wisconsin",55023,yes
"Crittenden County, Arkansas",5035,yes
"Crook County, Wyoming",56011,yes
"Crosby County, Texas",48107,yes
"Cumberland County, Kentucky",21057,yes
"Cumberland County, Maine",23005,yes
"Cumberland County, New Jersey",34011,yes
"Cumberland County, Pennsylvania",42041,yes
"Cuming County, Nebraska",31039,yes
"Curry County, Oregon",41015,yes
"Custer County, Montana",30017,yes
"Custer County, Nebraska",31041,yes
"Custer County, Oklahoma",40039,yes
"Dallam County, Texas",48111,yes
"Dane County, Wisconsin",55025,yes
"Dauphin County, Pennsylvania",42043,yes
"Davie County, North Carolina",37059,yes
"Davis County, Utah",49011,yes
"Dawes County, Nebraska",31045,yes
"Dawson County, Montana",30021,yes
"Dawson County, Texas",48115,yes
"De Soto Parish, Louisiana",22031,yes
"DeKalb County, Tennessee",47041,yes
"DeSoto County, Florida",12027,yes
"Decatur County, Georgia",13087,yes
"Decatur County, Indiana",18031,yes
"Decatur County, Iowa",19053,yes
"Delaware County, Indiana",18035,yes
"Delaware County, Ohio",39041,yes
"Delaware County, Oklahoma",40041,yes
"Delta County, Colorado",8029,yes
